Α/Α Διαγωνιστικής Διαδικασίας;Συνοπτικός Τίτλος;Τίτλος/Αντικείμενο;Προϋπολογισμός (€ χωρίς ΦΠΑ);Ημ/νία Δημοσίευσης στο Portal;Ημ/νία Έναρξης Υποβολών;Καταληκτική Ημ/νία Υποβολών;Κωδικός CPV;Περιγραφή CPV;Αναθέτουσα Αρχή/Αναθέτων Φορέας;Τόπος Παράδοσης;Κατάσταση;Link
170446;ΔΥΝΑΜΙΚΟ ΣΥΣΤΗΜΑ ΑΓΟΡΩΝ 2022-2025 (2/2022);ΔΙΑΚΗΡΥΞΗ ΓΙΑ ΤΗΝ ΑΝΑΘΕΣΗ ΥΠΗΡΕΣΙΩΝ ΜΕΤΑΦΟΡΑΣ ΜΑΘΗΤΩΝ ΧΩΡΙΚΗΣ ΑΡΜΟΔΙΟΤΗΤΑΣ Π.Ε. ΗΜΑΘΙΑΣ, ΑΝΩ ΤΩΝ ΟΡΙΩΝ, ΓΙΑ ΤΑ ΣΧΟΛΙΚΑ ΕΤΗ 2022-2023, 2023-2024 ΚΑΙ 2024-2025, ΠΡΟΥΠΟΛΟΓΙΣΜΟΥ 10.000.000 ΕΥΡΩ ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΟΥ ΤΟΥ ΦΠΑ 13%, ΚΑΙ ΔΙΚΑΙΩΜΑΤΩΝ ΠΡΟΑΙΡΕΣΗΣ ΚΑΙ ΠΑΡΑΤΑΣΗΣ (CPV 60130000 Υπηρεσίες Ειδικών Οδικών Μεταφορών Επιβατών) μέσω ΔΥΝΑΜΙΚΟΥ ΣΥΣΤΗΜΑΤΟΣ ΑΓΟΡΩΝ (ΔΣΑ) με τη χρήση του ΕΣΗΔΗΣ;0;;2022-08-30;2025-08-31;;;ΠΕΡΙΦΕΡΕΙΑ ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ, ΕΣΩΤ. ΛΕΙΤΟΥΡΓΙΑΣ, ΔΙΟΙΚΗΤΙΚΟΥ ΟΙΚΟΝΟΜΙΚΟΥ ΠΕ ΗΜΑΘΙΑΣ, ΠΡΟΜΗΘΕΙΩΝ;;ΕΝΕΡΓΟΣ;https://nepps-search.eprocurement.gov.gr/actSearch/resources/search/170446
367635;«ΔΥΟ (2) ΦΟΡΤΗΓΑ ΜΕ ΑΝΑΤΡΟΠΗ ΓΙΑ ΤΙΣ ΑΝΑΓΚΕΣ ΤΟΥ ΔΗΜΟΥ ΞΗΡΟΜΕΡΟΥ»;ΔΥΟ (2) ΦΟΡΤΗΓΑ ΜΕ ΑΝΑΤΡΟΠΗ ΓΙΑ ΤΙΣ ΑΝΑΓΚΕΣ ΤΟΥ ΔΗΜΟΥ ΞΗΡΟΜΕΡΟΥ;96.774;2025-02-17;2025-02-17;2025-03-14;34134200-7;Φορτηγά με ανατρεπόμενη καρότσα;ΔΗΜΟΣ ΞΗΡΟΜΕΡΟΥ, ., ΤΕΧΝΙΚΗ ΥΠΗΡΕΣΙΑ, .;ΠΛΑΤΕΙΑ ΚΑΝΙΓΓΟΣ 20 ΑΘΗΝΑ;ΕΝΕΡΓΟΣ;https://nepps-search.eprocurement.gov.gr/actSearch/resources/search/367635
367739;Δράσεις Ψηφιακού Μετασχηματισμού του Δήμου Θέρμου;"Δράσεις Ψηφιακού Μετασχηματισμού Δήμου Θέρμου - Υποέργο 2 της Πράξης ""Ανάπτυξη Εφαρμογών Έξυπνων Πόλεων και Τεχνολογιών για το Διαδίκτυο των Αντικειμένων (ΙΟΤ) του Δήμου Θέρμου";170.645;2025-02-17;2025-02-17;2025-03-18;48600000-4;Πακέτα λογισμικού βάσεων δεδομένων και λειτουργικών συστημάτων;ΔΗΜΟΣ ΘΕΡΜΟΥ, ., ., ΓΡΑΦΕΙΟ ΤΕΧΝΙΚΩΝ ΥΠΗΡΕΣΙΩΝ;Όπως αναφέρεται στους όρους της Διακήρυξης;ΕΝΕΡΓΟΣ;https://nepps-search.eprocurement.gov.gr/actSearch/resources/search/367739
367676;ΠΡΟΜΗΘΕΙΑ ΑΝΑΛΩΣΙΜΩΝ ΥΛΙΚΩΝ ΤΕΧΝΗΤΟΥ ΝΕΦΡΟΥ;ΔΙΑΚΗΡΥΞΗ ΗΛΕΚΤΡΟΝΙΚΟΥ ΔΗΜΟΣΙΟΥ ΑΝΟΙΚΤΟΥ ΔΙΑΓΩΝΙΣΜΟΥ, ΓΙΑ ΤΗΝ ΠΡΟΜΗΘΕΙΑ ΑΝΑΛΩΣΙΜΩΝ ΥΛΙΚΩΝ ΤΕΧΝΗΤΟΥ ΝΕΦΡΟΥ, ΠΡΟΥΠΟΛΟΓΙΣΤΙΚΗΣ ΔΑΠΑΝΗΣ 139.880,40€ ΠΛΕΟΝ Φ.Π.Α. ή 154.232,10€ ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΟΥ Φ.Π.Α. 6%,13% & 24% , ΓΙΑ ΕΝΑ (1) ΕΤΟΣ ΜΕ ΔΙΚΑΙΩΜΑ ΠΡΟΑΙΡΕΣΗΣ ΓΙΑ ΑΚΟΜΗ ΕΝΑ (1) ΕΤΟΣ, ΜΕ ΤΟΥΣ ΙΔΙΟΥΣ ΟΡΟΥΣ ΚΑΙ ΤΟ ΙΔΙΟ ΠΟΣΟ, ΓΙΑ ΤΙΣ ΑΝΑΓΚΕΣ ΤΟΥ Γ.Ν. ΧΑΛΚΙΔΙΚΗΣ.;139.880;2025-02-17;2025-02-17;2025-03-18;33181500-7;Αναλώσιμα υλικά θεραπείας νεφρών;Γ.Ν. ΧΑΛΚΙΔΙΚΗΣ, ., ., .;Πολύγυρος Πολύγυρος;ΕΝΕΡΓΟΣ;https://nepps-search.eprocurement.gov.gr/actSearch/resources/search/367676
367769;ΔΙΑΚΗΡΥΞΗ ΔΗΜΟΣΙΟΥ ΗΛΕΚΤΡΟΝΙΚΟΥ ΔΙΑΓΩΝΙΣΜΟΥ;ΔΙΑΚΗΡΥΞΗ ΔΗΜΟΣΙΟΥ ΑΝΟΙΚΤΟΥ ΗΛΕΚΤΡΟΝΙΚΟΥ ΔΙΑΓΩΝΙΣΜΟΥ ΓΙΑ ΤΗΝ ΠΑΡΟΧΗ ΥΠΗΡΕΣΙΩΝ ΜΕΤΑΦΟΡΑΣ ΒΙΟΛΟΓΙΚΟΥ ΜΟΡΙΑΚΟΥ ΥΛΙΚΟΥ. ΚΑΙ ΔΕΙΓΜΑΤΩΝ ΑΙΜΑΤΟΣ;3.625;2025-02-17;2025-03-02;2025-03-09;90524300-9;Υπηρεσίες απομάκρυνσης βιολογικών αποβλήτων;Γ.Ν. ΑΝΑΤΟΛ. ΑΧΑΪΑΣ(ΑΙΓΙΟ-ΚΑΛΑΒΡΥΤΑ), ., ., .;Άνω Βουλωμένο Αίγιο ΑΙΓΙΟ, Αβέρωφ 12 Αθήνα, Ομογενών Αμερικής 4 ΚΑΛΑΒΡΥΤΑ;ΕΝΕΡΓΟΣ;https://nepps-search.eprocurement.gov.gr/actSearch/resources/search/367769
367799;ΑΝΤΛΙΕΣ ΘΕΡΜΟΤΗΤΑΣ ΔΙΑΚΗΡΥΞΗ 12_2025;ΠΡΟΜΗΘΕΙΑ ΠΕΝΤΕ ΑΝΤΛΙΩΝ ΘΕΡΜΟΤΗΤΑΣ - ΣΧΕΤΙΚΗ ΔΙΑΚΗΡΥΞΗ 12/2025;115.384;2025-02-17;2025-02-17;2025-03-05;31682000-0;Υλικά παροχής ηλεκτρικού ρεύματος;Γ.Ν. ΧΙΟΥ, ., ., .;Αναφέρεται στους όρους της Διακήρυξης;ΕΝΕΡΓΟΣ;https://nepps-search.eprocurement.gov.gr/actSearch/resources/search/367799
367124;Πλύση Ακάθαρτου Ιματισμού (Δ/ξη 1/2025);Ανοικτός διαγωνισμός ανάθεσης υπηρεσιών Πλύσης Ακάθαρτου Ιματισμού του Γ.Ν. Κιλκίς με κριτήριο κατακύρωσης την πλέον συμφέρουσα από οικονομικής άποψης προσφορά αποκλειστικά βάσει της προσφερόμενης τιμής;81.977;2025-02-17;2025-02-17;2025-03-05;98310000-9;Υπηρεσίες πλυσίματος και στεγνού καθαρισμού;Γ.Ν. ΚΙΛΚΙΣ-ΓΟΥΜΕΝΙΣΣΑ, ., ., .;Αβέρωφ 12 Αθήνα;ΕΝΕΡΓΟΣ;https://nepps-search.eprocurement.gov.gr/actSearch/resources/search/367124
365914;1/2025;Ανάθεση Υπηρεσιών Λειτουργίας Χώρου Ελεγχόμενης Στάθμευσης στον Κεντρικό Προβλήτα Λιμένα Βόλου;240.000;2025-02-17;2025-02-17;2025-03-05;63712400-7;Υπηρεσίες χώρων στάθμευσης οχημάτων;ΟΡΓΑΝΙΣΜΟΣ ΛΙΜΕΝΟΣ ΒΟΛΟΥ Α.Ε., ., ΤΕΧΝΙΚΩΝ ΥΠΗΡΕΣΙΩΝ, .;Αναφέρεται στους όρους της Διακήρυξης;ΕΝΕΡΓΟΣ;https://nepps-search.eprocurement.gov.gr/actSearch/resources/search/365914
367181;3178_YOUTH PASS_ΠΛΑΤΦΟΡΜΑ_2025;Διενέργεια Ηλεκτρονικού (Εθνικού) Ανοικτού Κάτω των Ορίων Διαγωνισμού με κριτήριο ανάθεσης την πλέον συμφέρουσα από οικονομική άποψη προσφορά βάσει τιμής για την επιλογή αναδόχου για το Έργο: «Υπηρεσίες επέκτασης και υποστήριξης της παραγωγικής λειτουργίας της Ψηφιακής Πλατφόρμας του Προγράμματος «Υποστηρικτικά μέτρα των νέων ηλικίας δεκαοκτώ (18) και δεκαεννέα (19) ετών» (YOUTH PASS)», χρηματοδοτούμενο από τον Τ/Π;216.000;2025-02-17;2025-02-17;2025-03-05;72253200-5;Υπηρεσίες υποστήριξης συστημάτων πληροφορικής;ΚΟΙΝΩΝΙΑ ΤΗΣ ΠΛΗΡΟΦΟΡΙΑΣ Α.Ε., ., ., .;Όπως αναφέρεται στους όρους της Διακήρυξης;ΕΝΕΡΓΟΣ;https://nepps-search.eprocurement.gov.gr/actSearch/resources/search/367181
367745;03035/2024 - Προμήθεια και μεταφορά δένδρων και αρδευτικού υλικού;Αντικείμενο της σύμβασης είναι η προμήθεια και μεταφορά δένδρων και αρδευτικού υλικού, στο πλαίσιο του έργου με Κ.Ε. 21000 και τίτλο «Πρωτοβουλία ΄΄75 UN- 75 Trees UNAI SDG7’’β΄ φάση», του Εθνικού και Καποδιστριακού Πανεπιστημίου Αθηνών (Ε.Κ.Π.Α). Η προμήθεια των δένδρων και του αρδευτικού υλικού στο πλαίσιο του ως άνω έργου, εξυπηρετεί τις ανάγκες του και κρίνεται απαραίτητη, καθώς το ανωτέρω έργο αφορά δράσεις δενδροφύτευσης σε Δήμους, σε δασικούς συνεταιρισμούς, ελληνικά πανεπιστήμια και συλλόγους. Η συνολική εκτιμώμενη αξία της σύμβασης ανέρχεται στο πόσο των εκατόν δεκατεσσάρων χιλιάδων εξακοσίων δεκαεννέα ευρώ και ενενήντα τεσσάρων λεπτών (114.619,94 €) πλέον ΦΠΑ, ήτοι στο ποσό των εκατόν είκοσι εννέα χιλιάδων εννιακοσίων ενενήντα οκτώ ευρώ και εβδομήντα πέντε λεπτών (129.998,75 €), συμπεριλαμβανομένου ΦΠΑ. Τα τμήματα της σύμβασης επιβαρύνονται με τους παρακάτω συντελεστές ΦΠΑ, ανά τμήμα : Α/Α ΤΜΗΜΑΤΟΣ ΣΥΝΤΕΛΕΣΤΗΣ ΦΠΑ 1 έως και 52 Όλα τα τμήματα επιβαρύνονται με ΦΠΑ 13% 53 Το τμήμα επιβαρύνεται με ΦΠΑ 24%;114.619;2025-02-17;2025-02-17;2025-03-04;03120000-8,43323000-3;Εξοπλισμός άρδευσης,Προϊόντα κηπευτικής και φυτωρίου;ΕΘΝΙΚΟ ΚΑΙ ΚΑΠΟΔΙΣΤΡΙΑΚΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΑΘΗΝΩΝ-ΕΛΚΕ, ., ., ΣΧΕΔΙΑΣΜΟΥ ΚΑΙ ΠΡΟΜΗΘΕΙΩΝ;Αναφέρεται στους όρους της Διακήρυξης;ΕΝΕΡΓΟΣ;https://nepps-search.eprocurement.gov.gr/actSearch/resources/search/367745
